                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.5322,                0.69777,                   1.07,                 1.0105,                0.83752,                0.86679,                0.92695,                0.82515,                0.83752,                0.86679,                0.92747,                0.85386,                0.47259,                0.59443,                 0.7678,                 1.0121,             0.00064333,             0.00064333,             0.00064333
                     25,                0.49621,                0.70511,                 1.0346,                0.99032,                0.78179,                0.87254,                0.90286,                0.79811,                0.76912,                0.86902,                0.89471,                0.80099,                0.46556,                0.65606,                0.82481,                 1.0026,             0.00063508,             0.00063508,             0.00063508
                     26,                0.48521,                0.72757,                 1.0156,                0.98644,                0.83889,                0.89398,                0.92448,                0.85223,                0.83664,                0.89108,                0.92228,                0.85032,                0.38746,                0.65469,                0.76762,                0.94433,             0.00062683,             0.00062683,             0.00062683
                     27,                0.46775,                0.69386,                 0.9597,                 0.9816,                0.83355,                0.92822,                0.94164,                0.87042,                0.83355,                0.92822,                0.94164,                0.89769,                0.40036,                0.50265,                0.65701,                0.94934,             0.00061859,             0.00061859,             0.00061859
                     28,                0.46612,                0.64589,                0.95612,                0.96285,                0.84841,                0.87809,                0.93529,                0.83312,                0.84841,                0.87809,                0.93529,                0.88207,                0.42507,                0.48965,                0.72252,                0.98414,             0.00061034,             0.00061034,             0.00061034
                     29,                 0.4492,                0.62862,                0.94522,                 0.9572,                0.81117,                0.89259,                 0.8772,                0.80045,                0.80715,                0.88868,                0.87076,                0.82519,                 0.4011,                0.49412,                0.77258,                0.95317,             0.00060209,             0.00060209,             0.00060209
                     30,                0.45501,                 0.5798,                0.97513,                0.98952,                0.79957,                 0.8996,                0.89827,                0.83491,                0.79957,                 0.8996,                0.89827,                0.85487,                0.36001,                  0.463,                0.70287,                 0.9256,             0.00059385,             0.00059385,             0.00059385
                     31,                0.43555,                0.61676,                0.94133,                0.95543,                0.76711,                0.90378,                0.91985,                0.84824,                0.76711,                0.90378,                0.91576,                 0.8706,                 0.3899,                0.47652,                0.67952,                0.94309,              0.0005856,              0.0005856,              0.0005856
                     32,                0.49784,                0.67564,                  1.043,                0.98792,                0.74441,                 0.8784,                0.91008,                0.83192,                0.74441,                 0.8784,                0.91008,                0.86649,                0.39092,                0.48735,                0.71708,                0.95153,             0.00057735,             0.00057735,             0.00057735
                     33,                0.46901,                0.62211,                0.99575,                0.98442,                0.85635,                0.87818,                0.92965,                0.86274,                0.85635,                0.87818,                0.92965,                0.88081,                0.35592,                0.47978,                0.66733,                0.92654,             0.00056911,             0.00056911,             0.00056911
                     34,                0.45363,                0.65323,                0.90547,                0.97738,                0.81572,                0.90678,                0.93395,                0.86491,                0.81572,                0.90678,                0.93395,                0.88821,                0.37349,                0.49183,                0.67696,                0.93342,             0.00056086,             0.00056086,             0.00056086
                     35,                0.45227,                0.63036,                0.90425,                0.95759,                0.81234,                0.90604,                0.90977,                0.84852,                0.81062,                0.89902,                0.90614,                0.85826,                0.37926,                0.49963,                0.67916,                0.92916,             0.00055261,             0.00055261,             0.00055261
                     36,                0.46883,                0.65943,                0.89169,                0.96469,                 0.8368,                0.91111,                0.93888,                0.88173,                 0.8368,                0.91111,                0.93888,                0.89431,                0.34016,                 0.4607,                0.60641,                0.91298,             0.00054437,             0.00054437,             0.00054437
                     37,                0.42314,                0.60617,                 0.9158,                0.94733,                0.83729,                0.91547,                0.95367,                0.89892,                0.83729,                0.91547,                0.95367,                0.91765,                0.36021,                0.46041,                0.61321,                0.92156,             0.00053612,             0.00053612,             0.00053612
                     38,                0.45386,                0.61044,                 0.9211,                0.97499,                0.88776,                0.94065,                0.95859,                0.90647,                0.88776,                0.94065,                0.95859,                0.92296,                0.33967,                0.43371,                0.53146,                0.90794,             0.00052787,             0.00052787,             0.00052787
                     39,                0.43865,                0.63503,                0.87918,                 0.9608,                0.82861,                0.87988,                0.94247,                0.88989,                0.82861,                0.87988,                0.94247,                0.90878,                 0.3394,                0.41953,                0.61527,                0.91333,             0.00051963,             0.00051963,             0.00051963
                     40,                0.43859,                0.57292,                0.92612,                0.95964,                0.86139,                0.90009,                0.94373,                0.88364,                0.86139,                0.90009,                0.94373,                0.91235,                  0.364,                0.43627,                0.58462,                0.93554,             0.00051138,             0.00051138,             0.00051138
                     41,                0.42625,                0.54873,                0.80463,                0.95482,                0.86023,                0.91437,                 0.9516,                0.89575,                0.86023,                0.91437,                 0.9516,                0.91774,                0.34875,                0.43268,                0.54491,                0.93543,             0.00050313,             0.00050313,             0.00050313
                     42,                0.40731,                 0.5725,                0.79343,                0.94713,                 0.8373,                0.93001,                0.92823,                0.87941,                 0.8373,                0.93001,                0.92823,                0.89447,                0.32285,                0.44731,                0.54686,                0.89818,             0.00049489,             0.00049489,             0.00049489
                     43,                 0.4154,                0.58946,                0.82191,                0.94309,                0.89908,                 0.9575,                0.96327,                0.91541,                0.89908,                 0.9575,                0.96327,                0.93394,                0.31604,                0.41046,                0.49391,                0.89791,             0.00048664,             0.00048664,             0.00048664
                     44,                0.40614,                0.56712,                0.79546,                0.93866,                0.88671,                0.93736,                0.96359,                0.91459,                0.88671,                0.93736,                0.96359,                0.93292,                 0.3258,                0.40823,                0.50076,                0.90623,             0.00047839,             0.00047839,             0.00047839
                     45,                0.42276,                 0.6158,                0.81142,                0.94793,                0.87562,                0.94585,                0.95601,                0.91094,                0.87562,                0.94585,                0.95601,                0.92514,                0.32851,                0.40622,                0.51084,                0.91439,             0.00047015,             0.00047015,             0.00047015
                     46,                0.41445,                0.56433,                0.75868,                0.94645,                0.90502,                0.93014,                0.97325,                 0.9212,                0.90502,                0.93014,                0.97325,                 0.9402,                0.34074,                0.42248,                0.49744,                0.91777,              0.0004619,              0.0004619,              0.0004619
                     47,                0.40757,                0.58435,                0.74305,                0.94507,                0.87181,                0.96805,                0.97027,                0.92362,                0.87181,                0.96805,                0.97027,                0.93577,                0.31381,                0.40912,                0.45909,                0.90608,             0.00045365,             0.00045365,             0.00045365
                     48,                0.39753,                0.56187,                0.77904,                0.94259,                0.91417,                0.94157,                0.97008,                0.91653,                0.91417,                0.94157,                0.97008,                 0.9331,                0.33488,                0.46345,                0.47679,                0.90856,             0.00044541,             0.00044541,             0.00044541
                     49,                 0.3836,                 0.5146,                0.74935,                0.93324,                 0.8973,                0.89582,                0.96218,                0.91143,                 0.8973,                0.89582,                0.96218,                0.92057,                0.33397,                0.44603,                0.52387,                0.91903,             0.00043716,             0.00043716,             0.00043716
                     50,                0.41514,                0.59245,                0.85016,                0.95341,                0.92613,                0.93436,                0.97981,                0.93244,                0.92613,                0.93436,                0.97981,                0.94427,                0.32271,                0.42423,                0.45883,                0.90461,             0.00042891,             0.00042891,             0.00042891
                     51,                0.38765,                0.54863,                0.69219,                 0.9417,                0.86651,                 0.9628,                0.97836,                0.93463,                0.86651,                 0.9628,                0.97836,                0.94824,                0.31173,                0.39225,                0.48581,                0.90121,             0.00042066,             0.00042066,             0.00042066
                     52,                0.37608,                0.54693,                0.68456,                0.92294,                0.89607,                0.96263,                 0.9785,                0.94097,                0.89607,                0.96263,                 0.9785,                0.95237,                0.31288,                0.38413,                0.44242,                0.89732,             0.00041242,             0.00041242,             0.00041242
                     53,                0.39762,                0.54287,                0.69051,                0.94852,                0.91493,                0.96552,                0.97373,                0.92502,                0.91493,                0.96552,                0.97373,                0.93973,                  0.319,                 0.3915,                0.42544,                0.89798,             0.00040417,             0.00040417,             0.00040417
                     54,                0.40682,                0.57717,                0.69113,                0.94861,                0.90443,                0.95684,                0.98175,                0.94015,                0.90443,                0.95684,                0.98175,                0.95187,                0.30232,                0.38481,                 0.4465,                0.88445,             0.00039592,             0.00039592,             0.00039592
                     55,                0.39382,                0.51904,                0.65107,                0.94155,                0.95675,                0.94525,                0.98599,                0.95121,                0.95675,                0.94525,                0.98608,                 0.9617,                0.30246,                0.38034,                0.38641,                0.88722,             0.00038768,             0.00038768,             0.00038768
                     56,                0.35413,                0.48866,                0.61532,                0.91371,                0.92131,                0.94262,                0.97153,                0.93026,                0.92131,                0.94262,                0.97153,                0.94361,                0.29864,                0.36861,                0.44962,                0.88674,             0.00037943,             0.00037943,             0.00037943
                     57,                0.36247,                0.50102,                0.64749,                0.92593,                0.88888,                 0.9576,                0.97367,                 0.9365,                0.88888,                 0.9576,                0.97367,                0.94091,                0.29159,                0.37709,                0.42181,                0.87574,             0.00037118,             0.00037118,             0.00037118
                     58,                0.37683,                0.54734,                0.70212,                0.92938,                0.92439,                0.97696,                0.98192,                0.95432,                0.92439,                0.97696,                0.98192,                0.95232,                0.28049,                0.37774,                0.37785,                0.86645,             0.00036294,             0.00036294,             0.00036294
                     59,                0.36569,                0.49682,                0.67809,                0.93432,                0.91607,                0.95089,                0.97334,                0.94009,                0.91607,                0.95089,                0.97334,                0.95069,                0.28318,                0.36886,                0.41222,                 0.8691,             0.00035469,             0.00035469,             0.00035469
                     60,                0.37002,                0.49037,                0.66519,                0.92867,                0.92686,                0.96051,                0.98383,                0.94953,                0.92686,                0.96051,                0.98383,                0.96002,                0.28305,                0.36061,                0.39408,                0.86238,             0.00034644,             0.00034644,             0.00034644
                     61,                0.36876,                0.51929,                  0.631,                0.92287,                0.93827,                0.95712,                 0.9854,                0.94923,                0.93827,                0.95712,                 0.9854,                0.96163,                0.29411,                0.38006,                0.39185,                0.87139,              0.0003382,              0.0003382,              0.0003382
                     62,                0.37955,                0.54215,                0.63416,                0.93281,                0.91747,                0.96495,                0.97908,                0.94113,                0.91747,                0.96495,                0.97908,                0.95403,                0.28318,                0.37742,                 0.4037,                0.86338,             0.00032995,             0.00032995,             0.00032995
                     63,                0.37079,                0.53584,                0.62463,                0.92163,                0.94389,                0.96507,                0.98613,                0.95232,                0.94389,                0.96507,                0.98613,                0.96632,                0.28807,                0.35212,                0.36701,                0.87343,              0.0003217,              0.0003217,              0.0003217
                     64,                0.35183,                0.50664,                0.63015,                0.92103,                0.94276,                0.97977,                 0.9884,                0.95592,                0.94276,                0.97977,                 0.9884,                 0.9673,                0.27642,                0.35735,                0.35879,                0.86835,             0.00031346,             0.00031346,             0.00031346
                     65,                0.35529,                0.49658,                0.60272,                 0.9137,                0.94173,                0.95391,                0.98525,                0.95971,                0.94173,                0.95391,                0.98525,                0.96104,                0.26313,                0.35488,                0.39793,                0.85519,             0.00030521,             0.00030521,             0.00030521
                     66,                0.34754,                0.49589,                0.56841,                0.90714,                0.94058,                 0.9722,                0.98616,                0.96143,                0.94058,                 0.9722,                0.98616,                0.96398,                 0.2553,                0.34421,                0.34074,                0.84433,             0.00029696,             0.00029696,             0.00029696
                     67,                0.33493,                0.45418,                0.60944,                 0.9201,                0.94656,                0.97116,                0.98605,                0.96111,                0.94897,                0.97946,                0.98639,                 0.9652,                0.25709,                0.33623,                0.33328,                0.84852,             0.00028872,             0.00028872,             0.00028872
                     68,                0.33246,                0.46666,                0.57214,                0.91606,                0.92686,                 0.9848,                0.98008,                0.95614,                0.92686,                 0.9848,                0.98008,                 0.9602,                0.26249,                0.33262,                0.34751,                0.85152,             0.00028047,             0.00028047,             0.00028047
                     69,                0.36011,                0.48626,                0.58764,                0.92441,                0.94335,                0.99264,                 0.9863,                0.96401,                0.94335,                0.99264,                 0.9863,                  0.968,                0.25883,                0.34107,                0.33111,                0.85145,             0.00027222,             0.00027222,             0.00027222
                     70,                0.34189,                0.47012,                0.62342,                0.91753,                0.95469,                 0.9902,                0.99046,                0.97017,                0.95469,                 0.9902,                0.99046,                0.97383,                0.24815,                0.34633,                0.30005,                0.84518,             0.00026398,             0.00026398,             0.00026398
                     71,                0.35101,                0.51181,                0.55367,                0.92868,                 0.9338,                0.98703,                0.98859,                0.97071,                 0.9338,                0.98703,                0.98859,                0.97697,                0.25034,                 0.3314,                0.33844,                0.84664,             0.00025573,             0.00025573,             0.00025573
                     72,                0.33553,                0.46067,                0.54604,                0.90868,                   0.94,                0.98495,                0.97864,                0.95784,                   0.94,                0.98495,                0.97864,                0.96439,                 0.2536,                0.32861,                0.32536,                0.84622,             0.00024748,             0.00024748,             0.00024748
                     73,                0.33636,                0.46952,                0.56829,                 0.9119,                0.94164,                0.98489,                0.97753,                0.95695,                0.94164,                0.98489,                0.97753,                 0.9565,                0.24614,                 0.3395,                0.31799,                0.84368,             0.00023924,             0.00023924,             0.00023924
                     74,                0.33202,                0.45559,                0.51771,                 0.9107,                0.93799,                0.98652,                0.97649,                0.96005,                0.93799,                0.98652,                0.97649,                0.96214,                0.24301,                0.32709,                0.32103,                0.84061,             0.00023099,             0.00023099,             0.00023099
                     75,                0.32352,                0.44849,                0.54585,                0.90578,                0.96723,                0.98965,                0.98888,                0.97215,                0.96723,                0.98965,                0.98888,                0.97261,                0.24513,                0.33316,                0.29345,                0.84232,             0.00022274,             0.00022274,             0.00022274
                     76,                0.33014,                  0.477,                0.53176,                0.91126,                0.97334,                0.98251,                0.99088,                0.97511,                0.97334,                0.98251,                0.99088,                0.97703,                0.24245,                0.33285,                0.27885,                0.84227,              0.0002145,              0.0002145,              0.0002145
